metric,value,step
loss,0.8182316422462463,674.0
loss,0.8165328502655029,675.0
loss,0.7456000447273254,676.0
loss,0.7737287282943726,677.0
loss,0.7900838851928711,678.0
loss,0.7078468203544617,679.0
loss,0.8127362728118896,680.0
loss,0.7291601896286011,681.0
loss,0.7554514408111572,682.0
loss,0.7637687921524048,683.0
loss,0.7405518889427185,684.0
loss,0.7747581005096436,685.0
loss,0.8090076446533203,686.0
loss,0.7527551054954529,687.0
loss,0.800224244594574,688.0
loss,0.7954232692718506,689.0
loss,0.7582893371582031,690.0
loss,0.8108972907066345,691.0
loss,0.7591537237167358,692.0
loss,0.756665825843811,693.0
loss,0.8165022134780884,694.0
loss,0.8419595956802368,695.0
loss,0.801343560218811,696.0
loss,0.7527862787246704,697.0
loss,0.7737826108932495,698.0
loss,0.8081489205360413,699.0
loss,0.8614479303359985,700.0
loss,0.792220950126648,701.0
loss,0.7654633522033691,702.0
loss,0.7201083898544312,703.0
loss,0.8013677597045898,704.0
loss,0.7496170997619629,705.0
loss,0.8295947313308716,706.0
loss,0.8176758289337158,707.0
loss,0.7371159791946411,708.0
loss,0.7678195238113403,709.0
loss,0.7798941135406494,710.0
loss,0.7139580249786377,711.0
loss,0.8140857219696045,712.0
loss,0.7426373958587646,713.0
loss,0.7649080753326416,714.0
loss,0.7648504972457886,715.0
loss,0.7436200380325317,716.0
loss,0.7894824743270874,717.0
loss,0.8193750977516174,718.0
loss,0.7552159428596497,719.0
loss,0.7971737384796143,720.0
loss,0.7923189997673035,721.0
loss,0.7576863169670105,722.0
loss,0.8126717805862427,723.0
loss,0.7767274379730225,724.0
loss,0.7692391276359558,725.0
loss,0.8120884895324707,726.0
loss,0.8453456163406372,727.0
loss,0.7998586297035217,728.0
loss,0.7620130777359009,729.0
loss,0.7841160297393799,730.0
loss,0.8075371384620667,731.0
loss,0.8666856288909912,732.0
loss,0.7951129674911499,733.0
loss,0.7576107382774353,734.0
loss,0.7189409136772156,735.0
loss,0.807504415512085,736.0
loss,0.7371102571487427,737.0
loss,0.811881422996521,738.0
loss,0.8098127841949463,739.0
loss,0.7399531006813049,740.0
loss,0.7660372257232666,741.0
loss,0.7909150123596191,742.0
loss,0.7081749439239502,743.0
loss,0.7927029132843018,744.0
loss,0.7357759475708008,745.0
loss,0.7532928586006165,746.0
loss,0.7647249698638916,747.0
loss,0.743649959564209,748.0
loss,0.760995626449585,749.0
loss,0.812699556350708,750.0
loss,0.7344923615455627,751.0
loss,0.8057409524917603,752.0
loss,0.7880674600601196,753.0
loss,0.7638574838638306,754.0
loss,0.8112252950668335,755.0
loss,0.7559821605682373,756.0
loss,0.7523098587989807,757.0
loss,0.8108856678009033,758.0
loss,0.8401891589164734,759.0
loss,0.7994691133499146,760.0
loss,0.7548424005508423,761.0
loss,0.7725721597671509,762.0
loss,0.8104056119918823,763.0
loss,0.8634209632873535,764.0
loss,0.8000538349151611,765.0
loss,0.7572154998779297,766.0
loss,0.7151913046836853,767.0
loss,0.8070065975189209,768.0
loss,0.7484352588653564,769.0
loss,0.8175975680351257,770.0
loss,0.8047224879264832,771.0
loss,0.7328076958656311,772.0
loss,0.7645082473754883,773.0
loss,0.7877050042152405,774.0
loss,0.7101767063140869,775.0
loss,0.7878400087356567,776.0
loss,0.7293468713760376,777.0
loss,0.7487409114837646,778.0
loss,0.75936359167099,779.0
loss,0.7365632057189941,780.0
loss,0.7675780057907104,781.0
loss,0.8199945688247681,782.0
loss,0.7446488738059998,783.0
loss,0.8115361928939819,784.0
loss,0.7757054567337036,785.0
loss,0.7573909759521484,786.0
loss,0.8048692941665649,787.0
loss,0.7565606832504272,788.0
loss,0.752379298210144,789.0
loss,0.8083473443984985,790.0
loss,0.8377320170402527,791.0
loss,0.7927298545837402,792.0
loss,0.753899335861206,793.0
loss,0.7702069878578186,794.0
loss,0.8067703247070312,795.0
loss,0.8512095212936401,796.0
loss,0.7960782051086426,797.0
loss,0.7515371441841125,798.0
loss,0.7197667360305786,799.0
loss,0.8009471893310547,800.0
loss,0.7489364147186279,801.0
loss,0.8139573335647583,802.0
loss,0.8185170888900757,803.0
loss,0.7359388470649719,804.0
loss,0.761801540851593,805.0
loss,0.7765381336212158,806.0
loss,0.7110405564308167,807.0
loss,0.7877374887466431,808.0
loss,0.7336361408233643,809.0
loss,0.7413214445114136,810.0
loss,0.748790442943573,811.0
loss,0.7418003678321838,812.0
loss,0.7657065987586975,813.0
loss,0.8094612956047058,814.0
loss,0.7434113025665283,815.0
loss,0.8051229119300842,816.0
loss,0.767420768737793,817.0
loss,0.759427547454834,818.0
loss,0.7981513738632202,819.0
loss,0.7512121796607971,820.0
loss,0.743133544921875,821.0
loss,0.7936910390853882,822.0
loss,0.8310655355453491,823.0
loss,0.7986024618148804,824.0
loss,0.7455669045448303,825.0
loss,0.7602211236953735,826.0
loss,0.801294207572937,827.0
loss,0.8659720420837402,828.0
loss,0.8026536703109741,829.0
loss,0.7522433996200562,830.0
loss,0.7230454683303833,831.0
loss,0.7942492961883545,832.0
loss,0.7333704829216003,833.0
loss,0.8034241795539856,834.0
loss,0.8093748092651367,835.0
loss,0.7163254022598267,836.0
loss,0.7537499666213989,837.0
loss,0.7795246839523315,838.0
loss,0.7010768055915833,839.0
loss,0.7698818445205688,840.0
loss,0.7187353372573853,841.0
loss,0.7397682070732117,842.0
loss,0.7456576824188232,843.0
loss,0.731177568435669,844.0
loss,0.7984954714775085,845.0
loss,0.8363096714019775,846.0
loss,0.7586818337440491,847.0
loss,0.8238638639450073,848.0
loss,0.7906975746154785,849.0
loss,0.7660237550735474,850.0
loss,0.829288899898529,851.0
loss,0.7735870480537415,852.0
loss,0.7603693008422852,853.0
loss,0.8064348697662354,854.0
loss,0.8448233604431152,855.0
loss,0.8095396161079407,856.0
loss,0.768708348274231,857.0
loss,0.782767653465271,858.0
loss,0.8074078559875488,859.0
loss,0.8641012907028198,860.0
loss,0.8041701912879944,861.0
loss,0.7700300812721252,862.0
loss,0.7654327154159546,863.0
loss,0.8049526214599609,864.0
loss,0.7545925974845886,865.0
loss,0.814915657043457,866.0
loss,0.8232311606407166,867.0
loss,0.7406269311904907,868.0
loss,0.7633354663848877,869.0
loss,0.7848602533340454,870.0
loss,0.7128182649612427,871.0
loss,0.8122170567512512,872.0
loss,0.7328407764434814,873.0
loss,0.7499192953109741,874.0
loss,0.7543768882751465,875.0
loss,0.7417781949043274,876.0
loss,0.7709290981292725,877.0
loss,0.8098997473716736,878.0
